name,careers_url,ats_platform,category,notes
LVMH,https://www.lvmh.com/en/join-us/our-job-offers,custom,Luxury Fashion,Covers LV/Dior/Fendi/Loewe/Celine/Givenchy/Sephora/etc
Kering,https://www.kering.com/en/talent/job-offers/,custom,Luxury Fashion,Covers Gucci/Saint Laurent/Balenciaga/Bottega Veneta/Alexander McQueen
Chanel,https://cc.wd3.myworkdayjobs.com/en-US/ChanelCareers,workday,Luxury Fashion,
Hermès,https://talents.hermes.com/en/sites/CX/jobs?keyword=intern&mode=job-location,custom,Luxury Fashion,
Prada Group,https://jobs.pradagroup.com/search/?q=intern,custom,Luxury Fashion,Covers Prada and Miu Miu
Jacquemus,https://jobs.eu.lever.co/jacquemus,lever,Luxury Fashion,
Maison Margiela,https://careers.otb.net/search/?createNewAlert=false&q=intern,custom,Luxury Fashion,Under OTB group
Acne Studios,https://careers.acnestudios.com/open-positions/,custom,Luxury Fashion,
Burberry,https://boards.greenhouse.io/burberry,greenhouse,Luxury Fashion,
Valentino,https://jobs.valentino.com/search/?createNewAlert=false&q=intern,custom,Luxury Fashion,
Moncler,https://jobs.monclergroup.com/moncler-careers/jobs?keywords=intern&sortBy=relevance&page=1,custom,Luxury Fashion,
Brunello Cucinelli,https://brunellocucinelli.wd3.myworkdayjobs.com/Cucinelli?q=intern,workday,Luxury Fashion,
Balmain,https://balmain-career.talent-soft.com/job/list-of-jobs.aspx?page=1&LCID=2057,custom,Luxury Fashion,
Tapestry,https://boards.greenhouse.io/tapestry,greenhouse,Premium Fashion,Covers Coach/Kate Spade/Stuart Weitzman
Capri Holdings,https://www.capriholdings.com/careers/,workday,Premium Fashion,Covers Michael Kors/Versace/Jimmy Choo
PVH,https://www.pvh.com/careers,workday,Premium Fashion,Covers Calvin Klein/Tommy Hilfiger
Ralph Lauren,https://corporate.ralphlauren.com/careers,workday,Premium Fashion,
Tory Burch,https://boards.greenhouse.io/toryburch,greenhouse,Premium Fashion,
Levi Strauss,https://www.levistrauss.com/careers/,workday,Premium Fashion,
Madewell,https://www.madewell.com/careers.html,custom,Premium Fashion,Part of J.Crew Group
J.Crew,https://www.jcrew.com/careers,custom,Premium Fashion,
Aritzia,https://www.aritzia.com/us/en/careers,workday,Premium Fashion,
Reformation,https://boards.greenhouse.io/reformation,greenhouse,Premium Fashion,
Everlane,https://jobs.lever.co/everlane,lever,Premium Fashion,
Rag & Bone,https://www.rag-bone.com/pages/careers,custom,Premium Fashion,
Theory,https://www.theory.com/en/careers,custom,Premium Fashion,
Anthropologie,https://boards.greenhouse.io/anthropologie,greenhouse,Premium Fashion,Part of URBN
Free People,https://boards.greenhouse.io/freepeople,greenhouse,Premium Fashion,Part of URBN
Urban Outfitters,https://boards.greenhouse.io/urbanoutfitters,greenhouse,Premium Fashion,URBN parent
Abercrombie & Fitch,https://corporate.abercrombie.com/careers,workday,Premium Fashion,
American Eagle,https://www.ae.com/us/en/content/careers,workday,Premium Fashion,
Inditex,https://www.inditexpeople.com/us/en/joinus/offers?countries=206&specialties=45,custom,Premium Fashion,Covers Zara/Massimo Dutti/Bershka/Pull&Bear
H&M Group,https://career.hm.com/,workday,Premium Fashion,Covers H&M/COS/ARKET/& Other Stories/Weekday
REVOLVE,https://boards.greenhouse.io/revolve,greenhouse,Fashion Tech,
Nordstrom,https://careers.nordstrom.com/,workday,Premium Fashion,Strong tech org
Shopbop,https://www.shopbop.com/careers,custom,Fashion Tech,Amazon-owned
Net-a-Porter,https://www.net-a-porter.com/en-us/about/careers,custom,Fashion Tech,Part of YNAP/Richemont
SSENSE,https://jobs.lever.co/ssense,lever,Fashion Tech,
ALO Yoga,https://boards.greenhouse.io/aloyoga,greenhouse,Premium Fashion,
SKIMS,https://skims.pinpointhq.com/,custom,Premium Fashion,Uses Pinpoint ATS
Lululemon,https://careers.lululemon.com/en_US/careers/SearchCareer,custom,Premium Fashion,
Gymshark,https://boards.greenhouse.io/gymshark,greenhouse,Premium Fashion,
Vuori,https://boards.greenhouse.io/vuori,greenhouse,Premium Fashion,
Canada Goose,https://www.canadagoose.com/us/en/careers-overview,workday,Premium Fashion,
Arc'teryx,https://www.arcteryx.com/us/en/careers,workday,Premium Fashion,
On Running,https://boards.greenhouse.io/onrunning,greenhouse,Premium Fashion,
Outdoor Voices,https://boards.greenhouse.io/outdoorvoices,greenhouse,Premium Fashion,
Mango,https://mango.wd3.myworkdayjobs.com/en-US/Mango_Work_Your_Passion?q=intern,workday,Premium Fashion,
Guess,https://www.guess.com/en/careers/,workday,Premium Fashion,Already applied
Sézane,https://apply.workable.com/sezane-3/,custom,Luxury Fashion,French brand - Workable ATS
GANNI,https://www.ganni.com/us/careers.html,custom,Luxury Fashion,Uses Workable ATS
Khaite,https://job-boards.greenhouse.io/khaite,greenhouse,Luxury Fashion,NYC luxury brand
Toteme,https://toteme.teamtailor.com/jobs?query=&country=United+States,custom,Luxury Fashion,Teamtailor ATS
Self-Portrait,https://www.self-portrait-studio.com/pages/careers,custom,Luxury Fashion,
Veronica Beard,https://www.veronicabeard.com/pages/careers,custom,Premium Fashion,
Vince,https://www.vince.com/pages/careers,custom,Premium Fashion,
AllSaints,https://boards.greenhouse.io/allsaints,greenhouse,Premium Fashion,
VF Corporation,https://vfc.wd5.myworkdayjobs.com/vfc_careers,workday,Premium Fashion,Covers Vans/The North Face/Timberland/Dickies
Deckers Brands,https://deckers.wd5.myworkdayjobs.com/Deckers,workday,Premium Fashion,Covers HOKA/UGG/Teva
Savage X Fenty,https://boards.greenhouse.io/savagexfenty,greenhouse,Premium Fashion,Rihanna brand - ecomm focused
Fabletics,https://boards.greenhouse.io/fabletics,greenhouse,Premium Fashion,Subscription fashion ecomm
Estée Lauder Companies,https://careers.elcompanies.com/,workday,Beauty,Covers MAC/Clinique/Too Faced/La Mer/Jo Malone/Bobbi Brown/Aveda
L'Oréal,https://careers.loreal.com/,workday,Beauty,Covers Lancôme/Kiehl's/CeraVe/NYX/Maybelline/Garnier/Urban Decay/YSL Beauty
Sephora,https://www.sephora.com/careers,workday,Beauty,Also under LVMH careers
Ulta Beauty,https://careers.ulta.com/,workday,Beauty,
Glossier,https://boards.greenhouse.io/glossier,greenhouse,Beauty,
e.l.f. Beauty,https://boards.greenhouse.io/elfbeauty,greenhouse,Beauty,
Coty,https://careers.coty.com/,workday,Beauty,Covers many mid-tier beauty brands
Shiseido,https://careers.shiseido.com/,workday,Beauty,
Rhode,https://rhodeskin.com/pages/careers,custom,Beauty,Hailey Bieber brand
Sol de Janeiro,https://soldejaneiro.com/pages/careers,custom,Beauty,
Rare Beauty,https://boards.greenhouse.io/rarebeauty,greenhouse,Beauty,Selena Gomez brand
Fenty Beauty,https://boards.greenhouse.io/fentybeauty,greenhouse,Beauty,Rihanna brand
Merit Beauty,https://www.meritsociety.com/pages/careers,custom,Beauty,
Milk Makeup,https://www.milkmakeup.com/pages/careers,custom,Beauty,
Kosas,https://kosas.com/pages/careers,custom,Beauty,
Saie,https://www.saiebeauty.com/pages/careers,custom,Beauty,
Tower 28,https://tower28beauty.com/pages/careers,custom,Beauty,
Patrick Ta,https://patrickta.com/pages/careers,custom,Beauty,
Ouai,https://theouai.com/pages/careers,custom,Beauty,
